whose data do
process ||| technical
||| technical data
technical data integrity
data integrity issues
integrity issues |||
issues ||| within
||| within cens
within cens a
cens a group
a group of
group of computer
of computer scientists
computer scientists statisticians
scientists statisticians and
statisticians and |||
and ||| electrical
||| electrical engineering
electrical engineering researchers
engineering researchers have
researchers have formed
have formed the
formed the cens
the cens |||
cens ||| integrity
||| integrity group
integrity group devoted
group devoted to
devoted to looking
to looking at
looking at the
at the technical
the technical aspects
technical aspects of
aspects of |||
of ||| wireless
||| wireless sensing
wireless sensing system
sensing system data
system data integrity
data integrity |||
integrity ||| the
||| the cens
the cens integrity
cens integrity group
integrity group |||
group ||| focuses
||| focuses on
focuses on sensor
on sensor fault
sensor fault detection
fault detection that
detection that is
that is detecting
is detecting when
detecting when sensor
when sensor |||
sensor ||| output
||| output does
output does not
does not accurately
not accurately represent
accurately represent the
represent the phenomena
the phenomena being
phenomena being |||
being ||| measured
||| measured |||
measured ||| fault
||| fault detection
fault detection is
detection is often
is often viewed
often viewed as
viewed as a
as a step
a step in
step in postdeployment
in postdeployment data
postdeployment data analysis
data analysis where
analysis where data
where data is
data is rejected
is rejected during
rejected during analysis
during analysis if
analysis if |||
if ||| it
||| it is
it is deemed
is deemed to
deemed to be
to be faulty
be faulty |||
faulty ||| however
||| however this
however this approach
this approach is
approach is flawed
is flawed for
flawed for a
for a |||
a ||| couple
||| couple of
couple of reasons
of reasons |||
reasons ||| first
||| first it
first it may
it may not
may not be
not be possible
be possible to
possible to tell
to tell what
tell what data
what data |||
data ||| are
||| are faulty
are faulty after
faulty after the
after the fact
the fact and
fact and second
and second the
second the amount
the amount of
amount of data
of data available
data available |||
available ||| after
||| after a
after a challenging
a challenging deployment
challenging deployment may
deployment may be
may be so
be so small
so small that
small that none
that none can
none can be
can be |||
be ||| spared
||| spared |||
spared ||| this
||| this is
this is particularly
is particularly the
particularly the case
the case on
case on experiments
on experiments where
experiments where sensors
where sensors |||
sensors ||| are
||| are shortlived
are shortlived and
shortlived and require
and require frequent
require frequent calibration
frequent calibration |||
calibration ||| cens
||| cens researchers
cens researchers |||
researchers ||| have
||| have had
have had to
had to discard
to discard as
discard as much
as much as
much as of
as of the
of the data
the data collected
data collected on
collected on a
on a |||
a ||| particular
||| particular deployment
particular deployment limiting
deployment limiting the
limiting the amount
the amount of
amount of scientific
of scientific analysis
scientific analysis |||
analysis ||| possible
||| possible |||
possible ||| for
||| for these
for these reasons
these reasons the
reasons the cens
the cens integrity
cens integrity group
integrity group is
group is researching
is researching fault
researching fault |||
fault ||| detection
||| detection methods
detection methods that
methods that would
that would identify
would identify sensor
identify sensor faults
sensor faults as
faults as data
as data is
data is |||
is ||| being
||| being captured
being captured in
captured in the
in the field
the field |||
field ||| there
||| there are
there are many
are many challenges
many challenges in
challenges in this
in this task
this task |||
task ||| as
||| as sensor
as sensor faults
sensor faults can
faults can take
can take many
take many forms
many forms such
forms such as
such as out
as out of
out of range
of range values
range values |||
values ||| and
||| and have
and have a
have a number
a number of
number of possible
of possible causes
possible causes each
causes each requiring
each requiring a
requiring a different
a different |||
different ||| detection
||| detection method
detection method |||
method ||| often
||| often faults
often faults compound
faults compound each
compound each other
each other such
other such as
such as |||
as ||| when
||| when a
when a failing
a failing battery
failing battery causes
battery causes a
causes a sensor
a sensor to
sensor to give
to give faulty
give faulty readings
faulty readings |||
readings ||| this
||| this |||
this ||| technical
||| technical data
technical data integrity
data integrity work
integrity work is
work is important
is important because
important because it
because it indicates
it indicates that
indicates that |||
that ||| the
||| the embedded
the embedded networked
embedded networked sensing
networked sensing community
sensing community is
community is becoming
is becoming aware
becoming aware |||
aware ||| of
||| of the
of the complexity
the complexity of
complexity of data
of data integrity
data integrity issues
integrity issues even
issues even if
even if the
if the mechanisms
the mechanisms |||
mechanisms ||| and
||| and techniques
and techniques they
techniques they are
they are developing
are developing for
developing for automated
for automated and
automated and humanmediated
and humanmediated data
humanmediated data integrity
data integrity checks
integrity checks in
checks in sensor
in sensor systems
sensor systems are
systems are in
are in the
in the very
the very |||
very ||| beginning
||| beginning stages
beginning stages |||
stages ||| once
||| once these
once these mechanisms
these mechanisms mature
mechanisms mature they
mature they will
they will be
will be an
be an |||
an ||| integral
||| integral component
integral component of
component of scientific
of scientific research
scientific research that
research that uses
that uses sensor
uses sensor |||
sensor ||| networks
||| networks |||
networks ||| social
||| social data
social data integrity
data integrity issues
integrity issues |||
issues ||| sensor
||| sensor faults
sensor faults represent
faults represent a
represent a technical
a technical impediment
technical impediment to
impediment to ensuring
to ensuring data
ensuring data |||
data ||| integrity
||| integrity |||
integrity ||| equally
||| equally |||
equally ||| important
||| important |||
important ||| social
||| social |||
social ||| cultural
||| cultural |||
cultural ||| and
||| and |||
and ||| economic
||| economic impediments
economic impediments must
impediments must also
must also be
also be addressed
be addressed |||
addressed ||| birnholtz
||| birnholtz and
birnholtz and |||
and ||| bietz
||| bietz point
bietz point out
point out that
out that many
that many factors
many factors play
factors play into
play into data
into data sharing
data sharing |||
sharing ||| practices
||| practices |||
practices ||| understanding
||| understanding a
understanding a data
a data set
data set requires
set requires knowledge
requires knowledge of
knowledge of the
of the |||
the ||| context
||| context in
context in which
in which it
which it was
it was collected
was collected |||
collected ||| documenting
||| documenting the
documenting the data
the data collection
data collection |||
collection ||| process
||| process is
process is challenging
is challenging however
challenging however because
however because much
because much of
much of the
of the knowledge
the knowledge |||
knowledge ||| that
||| that goes
that goes into
goes into collecting
into collecting and
collecting and interpreting
and interpreting a
interpreting a data
a data set
data set is
set is tacit
is tacit |||
tacit ||| knowledge
||| knowledge transfer
knowledge transfer is
transfer is not
is not simply
not simply a
simply a matter
a matter of
matter of sharing
of sharing a
sharing a set
a set of
set of |||
of ||| instructions
||| instructions but
instructions but is
but is a
is a highly
a highly social
highly social process
social process of
process of learning
of learning practices
learning practices |||
practices ||| that
||| that are
that are not
are not easily
not easily documented
easily documented pg
documented pg |||
pg ||| they
||| they identify
they identify three
identify three |||
three ||| recommendations
||| recommendations for
recommendations for the
for the design
the design of
design of systems
of systems to
systems to share
to share scientific
share scientific |||
scientific ||| data
||| data support
data support social
support social interaction
social interaction around
interaction around data
around data abstractions
data abstractions and
abstractions and |||
and ||| the
||| the data
the data themselves
data themselves do
themselves do not
do not rely
not rely on
rely on metadata
on metadata alone
metadata alone it
alone it is
it is also
is also |||
also ||| necessary
||| necessary to
necessary to support
to support the
support the sharing
the sharing of
sharing of supplementary
of supplementary materials
supplementary materials that
materials that |||
that ||| enhance
||| enhance the
enhance the value
the value of
value of the
of the data
the data and
data and support
and support social
support social and
social and scientific
and scientific |||
scientific ||| roles
||| roles of
roles of data
of data |||
data ||| because
||| because tacit
because tacit knowledge
tacit knowledge is
knowledge is such
is such an
such an integral
an integral part
integral part of
part of |||
of ||| ecological
||| ecological research
ecological research producing
research producing data
producing data set
data set documentation
set documentation is
documentation is timeconsuming
is timeconsuming and
timeconsuming and laborintensive
and laborintensive process
laborintensive process |||
process ||| cultural
||| cultural data
cultural data integrity
data integrity issues
integrity issues |||
issues ||| data
||| data collections
data collections in
collections in the
in the environmental
the environmental and
environmental and ecological
and ecological sciences
ecological sciences are
sciences are |||
are ||| primarily
||| primarily research
primarily research data
research data collections
data collections that
collections that were
that were collected
were collected for
collected for a
for a |||
a ||| specific
||| specific purpose
specific purpose and
purpose and are
and are typically
are typically held
typically held by
held by the
by the researchers
the researchers who
researchers who |||
who ||| created
||| created them
created them |||
them ||| it
||| it is
it is therefore
is therefore often
therefore often difficult
often difficult for
difficult for researchers
for researchers to
researchers to |||
to ||| discover
||| discover and
discover and access
and access research
access research data
research data that
data that was
that was collected
was collected by
collected by someone
by someone |||
someone ||| else
||| else |||
else ||| as
||| as zimmerman
as zimmerman notes
zimmerman notes ecologists
notes ecologists face
ecologists face a
face a litany
a litany of
litany of |||
of ||| challenges
||| challenges in
challenges in finding
in finding data
finding data |||
data ||| because
||| because few
because few ecological
few ecological databases
ecological databases |||
databases ||| exist
||| exist the
exist the ecologists
the ecologists zimmerman
ecologists zimmerman studied
zimmerman studied looked
studied looked to
looked to many
to many other
many other |||
other ||| sources
||| sources for
sources for data
for data including
data including peerreviewed
including peerreviewed publications
peerreviewed publications museums
publications museums |||
museums ||| and
||| and personal
and personal contacts
personal contacts |||
contacts ||| once
||| once relevant
once relevant data
relevant data was
data was found
was found they
found they went
they went |||
went ||| to
||| to great
to great lengths
great lengths to
lengths to ensure
to ensure that
ensure that they
that they understand
they understand data
understand data collected
data collected by
collected by |||
by ||| others
||| others pg
others pg |||
pg ||| relying
||| relying on
relying on their
on their own
their own field
own field expertise
field expertise to
expertise to evaluate
to evaluate |||
evaluate ||| the
||| the potential
the potential problems
potential problems with
problems with given
with given data
given data |||
data ||| additionally
||| additionally when
additionally when combining
when combining disparate
combining disparate data
disparate data sets
data sets researchers
sets researchers |||
researchers ||| often
||| often ignored
often ignored small
ignored small differences
small differences between
differences between data
between data sets
data sets with
sets with the
with the hope
the hope |||
hope ||| that
||| that small
that small amounts
small amounts of
amounts of bad
of bad data
bad data or
data or incompatibilities
or incompatibilities between
incompatibilities between data
between data |||
data ||| sets
||| sets will
sets will not
will not affect
not affect how
affect how they
how they can
they can be
can be analyzed
be analyzed |||
analyzed ||| peerreviewed
||| peerreviewed |||
peerreviewed ||| literature
||| literature are
literature are generally
are generally a
generally a good
a good source
good source of
source of information
of information about
information about data
about data |||
data ||| but
||| but peerreview
but peerreview typically
peerreview typically does
typically does not
does not certify
not certify data
certify data quality
data quality per
quality per se
per se as
se as |||
as ||| publications
||| publications rarely
publications rarely report
rarely report the
report the actual
the actual raw
actual raw data
raw data on
data on which
on which they
which they are
they are |||
are ||| based
||| based |||
based ||| similarly
||| similarly databases
similarly databases are
databases are challenging
are challenging to
challenging to use
to use because
use because they
because they |||
they ||| often
||| often do
often do not
do not provide
not provide enough
provide enough information
enough information to
information to determine
to determine the
determine the |||
the ||| purposes
||| purposes for
purposes for which
for which data
which data was
data was collected
was collected |||
collected ||| despite
||| despite the
despite the challenges
the challenges scientists
challenges scientists find
scientists find ways
find ways to
ways to get
to get access
get access to
access to the
to the |||
the ||| data
||| data they
data they need
they need |||
need ||| however
||| however tremendous
however tremendous amounts
tremendous amounts of
amounts of time
of time and
time and |||
and ||| energy
||| energy are
energy are spent
are spent in
spent in the
in the process
the process of
process of finding
of finding evaluating
finding evaluating and
evaluating and |||
and ||| integrating
||| integrating data
integrating data |||
data ||| better
||| better methods
better methods for
methods for data
for data documentation
data documentation and
documentation and |||
and ||| access
||| access would
access would make
would make it
make it much
it much easier
much easier for
easier for scientists
for scientists to
scientists to discover
to discover and
discover and |||
and ||| share
||| share data
share data and
data and just
and just as
just as importantly
as importantly evaluate
importantly evaluate the
evaluate the integrity
the integrity of
integrity of data
of data |||
data ||| collected
||| collected by
collected by others
by others |||
others ||| understanding
||| understanding the
understanding the requirements
the requirements for
requirements for such
for such |||
such ||| methods
||| methods is
methods is the
is the focus
the focus of
focus of our
of our research
our research |||
research ||| research
||| research methodology
research methodology |||
methodology ||| we
||| we have
we have identified
have identified a
identified a number
a number of
number of critical
of critical research
critical research areas
research areas regarding
areas regarding |||
regarding ||| cens
||| cens data
cens data practices
data practices and
practices and are
and are pursuing
are pursuing a
pursuing a multipronged
a multipronged research
multipronged research |||
research ||| approach
||| approach |||
approach ||| we
||| we recently
we recently completed
recently completed a
completed a series
a series of
series of interviews
of interviews with
interviews with |||
with ||| scientists
||| scientists from
scientists from five
from five environmental
five environmental science
environmental science projects
science projects within
projects within cens
within cens |||
cens ||| for
||| for each
for each project
each project we
project we interviewed
we interviewed a
interviewed a complementary
a complementary set
complementary set of
set of science
of science |||
science ||| and
||| and technology
and technology participants
technology participants including
participants including faculty
including faculty postdoctoral
faculty postdoctoral |||
postdoctoral ||| fellows
||| fellows graduate
fellows graduate students
graduate students and
students and research
and research staff
research staff |||
staff ||| we
||| we interviewed
we interviewed |||
interviewed ||| participants
||| participants each
participants each for
each for minutes
for minutes to
minutes to two
to two hours
two hours interviews
hours interviews |||
interviews ||| averaged
||| averaged minutes
averaged minutes |||
minutes ||| interview
||| interview questions
interview questions were
questions were grouped
were grouped into
grouped into these
into these |||
these ||| four
||| four categories
four categories data
categories data characteristics
data characteristics data
characteristics data sharing
data sharing data
sharing data policy
data policy and
policy and |||
and ||| data
||| data architecture
data architecture |||
architecture ||| the
||| the interviews
the interviews were
interviews were audiotaped
were audiotaped transcribed
audiotaped transcribed |||
transcribed ||| and
||| and complemented
and complemented by
complemented by the
by the interviewers
the interviewers memos
interviewers memos on
memos on topics
on topics and
topics and |||
and ||| themes
||| themes |||
themes ||| analysis
||| analysis proceeded
analysis proceeded to
proceeded to identify
to identify emergent
identify emergent themes
emergent themes |||
themes ||| this
||| this study
this study used
study used the
used the methods
the methods of
methods of grounded
of grounded theory
grounded theory to
theory to identify
to identify |||
identify ||| themes
||| themes and
themes and to
and to test
to test them
test them in
them in the
in the full
the full corpus
full corpus of
corpus of interview
of interview transcripts
interview transcripts |||
transcripts ||| and
||| and notes
and notes |||
notes ||| the
||| the next
the next planned
next planned stages
planned stages of
stages of our
of our research
our research are
research are based
are based on
based on findings
on findings and
findings and |||
and ||| gaps
||| gaps identified
gaps identified by
identified by this
by this interview
this interview study
interview study and
study and encompass
and encompass |||
encompass ||| ethnographic
||| ethnographic research
ethnographic research information
research information system
information system design
system design and
design and |||
and ||| quantitative
||| quantitative characterization
quantitative characterization of
characterization of cens
of cens collaborative
cens collaborative activities
collaborative activities |||
activities ||| we
||| we |||
we ||| are
||| are developing
are developing another
developing another interview
another interview study
interview study that
study that will
that will focus
will focus on
focus on data
on data |||
data ||| versioning
||| versioning and
versioning and provenance
and provenance within
provenance within cens
within cens research
cens research |||
research ||| this
||| this study
this study is
study is in
is in |||
in ||| the
||| the development
the development stages
development stages but
stages but will
but will seek
will seek to
seek to determine
to determine in
determine in what
in what states
what states |||
states ||| or
||| or versions
or versions data
versions data sets
data sets exist
sets exist and
exist and how
and how these
how these states
these states are
states are documented
are documented |||
documented ||| additionally
||| additionally we
additionally we are
we are examining
are examining ways
examining ways that
ways that wireless
that wireless sensing
wireless sensing |||
sensing ||| information
||| information and
information and data
and data can
data can be
can be organized
be organized through
organized through the
through the development
the development |||
development ||| of
||| of taxonomies
of taxonomies ontologies
taxonomies ontologies or
ontologies or metadata
or metadata models
metadata models |||
models ||| discussion
||| discussion implications
discussion implications for
implications for |||
for ||| data
||| data digital
data digital library
digital library design
library design |||
design ||| digital
||| digital libraries
digital libraries can
libraries can facilitate
can facilitate data
facilitate data integrity
data integrity by
integrity by recognizing
by recognizing and
recognizing and |||
and ||| accounting
||| accounting for
accounting for the
for the scientific
the scientific practices
scientific practices and
practices and requirements
and requirements |||
requirements ||| scientists
||| scientists |||
scientists ||| have
||| have established
have established methods
established methods for
methods for describing
for describing their
describing their communication
their communication |||
communication ||| networks
||| networks sensors
networks sensors and
sensors and equipment
and equipment calibrations
equipment calibrations but
calibrations but often
but often this
often this |||
this ||| information
||| information is
information is documented
is documented separately
documented separately from
separately from the
from the data
the data if
data if it
if it is
it is |||
is ||| documented
||| documented at
documented at all
at all |||
all ||| among
||| among the
among the many
the many research
many research questions
research questions provoked
questions provoked |||
provoked ||| by
||| by our
by our research
our research are
research are how
are how digital
how digital libraries
digital libraries can
libraries can store
can store essential
store essential |||
essential ||| contextual
||| contextual information
contextual information and
information and associate
and associate it
associate it with
it with relevant
with relevant data
relevant data points
data points |||
points ||| the
||| the context
the context of
context of cens
of cens data
cens data collection
data collection |||
collection ||| within
||| within cens
within cens data
cens data collection
data collection largely
collection largely takes
largely takes place
takes place on
place on realworld
on realworld |||
realworld ||| sensor
||| sensor deployments
sensor deployments |||
deployments ||| we
||| we have
we have designed
have designed and
designed and implemented
and implemented the
implemented the |||
the ||| cens
||| cens deployment
cens deployment center
deployment center censdc
center censdc a
censdc a database
a database for
database for cens
for cens |||
cens ||| deployment
||| deployment information
deployment information |||
information ||| the
||| the censdc
the censdc provides
censdc provides a
provides a centralized
a centralized |||
centralized ||| webaccessible
||| webaccessible location
webaccessible location for
location for researchers
for researchers to
researchers to articulate
to articulate and
articulate and document
and document |||
document ||| deployment
||| deployment activities
deployment activities through
activities through the
through the creation
the creation of
creation of predeployment
of predeployment |||
predeployment ||| plans
||| plans and
plans and postdeployment
and postdeployment feedbacknotes
postdeployment feedbacknotes |||
feedbacknotes ||| cens
||| cens researchers
cens researchers |||
researchers ||| collaboratively
||| collaboratively plan
collaboratively plan sensor
plan sensor deployments
sensor deployments prior
deployments prior to
prior to going
to going out
going out in
out in the
in the |||
the ||| field
||| field |||
field ||| information
||| information captured
information captured in
captured in deployment
in deployment plans
deployment plans includes
plans includes |||
includes ||| deployment
||| deployment dates
deployment dates locations
dates locations participants
locations participants technology
participants technology equipment
technology equipment |||
equipment ||| tasks
||| tasks and
tasks and other
and other notes
other notes |||
notes ||| the
||| the system
the system also
system also facilitates
also facilitates postdeployment
facilitates postdeployment |||
postdeployment ||| information
||| information capture
information capture by
capture by providing
by providing a
providing a series
a series of
series of fields
of fields for
fields for researchers
for researchers |||
researchers ||| to
||| to outline
to outline any
outline any problems
any problems they
problems they encountered
they encountered while
encountered while in
while in the
in the field
the field as
field as |||
as ||| well
||| well as
well as recommendations
as recommendations and
recommendations and suggestions
and suggestions for
suggestions for future
for future deployments
future deployments |||
deployments ||| the
||| the development
the development of
development of the
of the censdc
the censdc has
censdc has followed
has followed an
followed an iterative
an iterative rapidprototyping
iterative rapidprototyping design
rapidprototyping design process
design process |||
process ||| requirements
||| requirements for
requirements for the
for the system
the system were
system were |||
were ||| developed
||| developed through
developed through ethnographic
through ethnographic study
ethnographic study of
study of cens
of cens deployments
cens deployments and
deployments and |||
and ||| discussions
||| discussions with
discussions with cens
with cens researchers
cens researchers to
researchers to characterize
to characterize deployment
characterize deployment |||
deployment ||| practices
||| practices |||
practices ||| much
||| much of
much of the
of the infield
the infield data
infield data collection
data collection process
collection process during
process during |||
during ||| deployment
||| deployment involves
deployment involves tacit
involves tacit knowledge
tacit knowledge about
knowledge about equipment
about equipment setups
equipment setups |||
setups ||| deployment
||| deployment locations
deployment locations and
locations and field
and field preparations
field preparations from
preparations from past
from past |||
past ||| deployments
||| deployments |||
deployments ||| as
||| as cens
as cens technologies
cens technologies mature
technologies mature and
mature and current
and current |||
current ||| researchers
||| researchers gain
researchers gain deployment
gain deployment experience
deployment experience new
experience new students
new students face
students face a
face a |||
a ||| steeper
||| steeper learning
steeper learning curve
learning curve when
curve when joining
when joining a
joining a project
a project |||
project ||| the
||| the censdc
the censdc was
censdc was |||
was ||| designed
||| designed to
designed to capture
to capture tacit
capture tacit knowledge
tacit knowledge and
knowledge and contextual
and contextual information
contextual information |||
information ||| surrounding
||| surrounding infield
surrounding infield data
infield data capture
data capture and
capture and to
and to serve
to serve as
serve as a
as a tool
a tool for
tool for |||
for ||| transfer
||| transfer of
transfer of common
of common knowledge
common knowledge knowledge
knowledge knowledge gained
knowledge gained through
gained through field
through field |||
field ||| experiences
||| experiences that
experiences that can
that can be
can be utilized
be utilized for
utilized for future
for future deployments
future deployments |||
deployments ||| the
||| the |||
the ||| censdc
||| censdc adds
censdc adds value
adds value to
value to cens
to cens data
cens data by
data by providing
by providing a
providing a source
a source of
source of |||
of ||| contextual
||| contextual information
contextual information surrounding
information surrounding the
surrounding the data
the data collection
data collection |||
collection ||| this
||| this |||
this ||| information
||| information can
information can assist
can assist researchers
assist researchers in
researchers in writing
in writing papers
writing papers proposals
papers proposals |||
proposals ||| and
||| and reviews
and reviews as
reviews as well
as well as
well as in
as in maintaining
in maintaining their
maintaining their data
their data and
data and leveraging
and leveraging |||
leveraging ||| them
||| them for
them for reuse
for reuse by
reuse by others
by others |||
others ||| data
||| data integrity
data integrity and
integrity and the
and the data
the data life
data life cycle
life cycle |||
cycle ||| we
||| we have
we have proposed
have proposed that
proposed that digital
that digital library
digital library services
library services should
services should serve
should serve |||
serve ||| scientists
||| scientists whose
scientists whose data
whose data exists
data exists in
exists in all
in all stages
all stages of
stages of the
of the data
the data life
data life cycle
life cycle |||
cycle ||| building
||| building on
building on this
on this model
this model mechanisms
model mechanisms to
mechanisms to ensure
to ensure data
ensure data integrity
data integrity |||
integrity ||| will
||| will also
will also have
also have to
have to be
to be present
be present at
present at each
at each stage
each stage in
stage in the
in the data
the data life
data life cycle
life cycle |||
cycle ||| prior
||| prior to
prior to data
to data capture
data capture equipment
capture equipment are
equipment are tested
are tested and
tested and calibrated
and calibrated |||
calibrated ||| calibration
||| calibration information
calibration information is
information is essential
is essential to
essential to postdeployment
to postdeployment data
postdeployment data |||
data ||| analysis
||| analysis but
analysis but calibration
but calibration information
calibration information varies
information varies for
varies for each
for each type
each type of
type of |||
of ||| sensor
||| sensor and
sensor and in
and in some
in some circumstances
some circumstances even
circumstances even between
even between sensors
between sensors of
sensors of the
of the |||
the ||| same
||| same type
same type on
type on the
on the same
the same deployment
same deployment |||
deployment ||| issues
||| issues arise
issues arise such
arise such as
such as the
as the level
the level |||
level ||| of
||| of granularity
of granularity in
granularity in the
in the calibration
the calibration information
calibration information needs
information needs to
needs to be
to be associated
be associated |||
associated ||| with
||| with each
with each data
each data set
data set |||
set ||| at
||| at the
at the point
the point of
point of data
of data capture
data capture it
capture it will
it will be
will be essential
be essential |||
essential ||| that
||| that data
that data digital
data digital library
digital library implementations
library implementations accommodate
implementations accommodate and
accommodate and |||
and ||| ideally
||| ideally incorporate
ideally incorporate automated
incorporate automated or
automated or humanmediated
or humanmediated data
humanmediated data integrity
data integrity |||
integrity ||| checks
||| checks as
checks as data
as data are
data are being
are being collected
being collected |||
collected ||| sensor
||| sensor faults
sensor faults have
faults have a
have a huge
a huge |||
huge ||| impact
||| impact on
impact on the
on the quality
the quality and
quality and quantity
and quantity of
quantity of data
of data generated
data generated by
generated by wireless
by wireless |||
wireless ||| sensing
||| sensing system
sensing system deployments
system deployments and
deployments and researchers
and researchers must
researchers must be
must be able
be able to
able to |||
to ||| indicate
||| indicate the
indicate the presence
the presence of
presence of these
of these faults
these faults and
faults and their
and their impact
their impact on
impact on the
on the |||
the ||| resulting
||| resulting data
resulting data |||
data ||| similarly
||| similarly contextual
similarly contextual information
contextual information around
information around the
around the data
the data capture
data capture such
capture such as
such as |||
as ||| the
||| the equipment
the equipment and
equipment and software
and software used
software used is
used is critical
is critical to
critical to evaluate
to evaluate data
evaluate data |||
data ||| often
||| often |||
often ||| this
||| this information
this information is
information is not
is not documented
not documented on
documented on data
on data |||
data ||| contextual
||| contextual |||
contextual ||| information
||| information about
information about the
about the data
the data collection
data collection process
collection process is
process is particularly
is particularly |||
particularly ||| important
||| important when
important when evaluating
when evaluating data
evaluating data collected
data collected by
collected by someone
by someone else
someone else |||
else ||| during
||| during the
during the data
the data analysis
data analysis phase
analysis phase data
phase data sets
data sets often
sets often undergo
often undergo changes
undergo changes as
changes as |||
as ||| scientists
||| scientists clean
scientists clean integrate
clean integrate and
integrate and analyze
and analyze data
analyze data |||
data ||| the
||| the provenance
the provenance of
provenance of |||
of ||| these
||| these changes
these changes is
changes is relevant
is relevant when
relevant when assessing
when assessing the
assessing the integrity
the integrity of
integrity of the
of the |||
the ||| resulting
||| resulting data
resulting data as
data as it
as it may
it may be
may be necessary
be necessary to
necessary to backtrack
to backtrack through
backtrack through the
through the |||
the ||| data
||| data analysis
data analysis steps
analysis steps that
steps that led
that led to
led to a
to a research
a research claim
research claim |||
claim ||| publications
||| publications are
publications are currently
are currently the
currently the main
the main product
main product of
product of scientific
of scientific research
scientific research |||
research ||| but
||| but as
but as data
as data and
data and other
and other scientific
other scientific information
scientific information is
information is increasingly
is increasingly |||
increasingly ||| available
||| available online
available online it
online it would
it would be
would be very
be very valuable
very valuable to
valuable to be
to be able
be able to
able to identify
to identify |||
identify ||| relationships
||| relationships between
relationships between resources
between resources making
resources making the
making the scholarly
the scholarly value
scholarly value chain
value chain |||
chain ||| explicit
||| explicit |||
explicit ||| finally
||| finally curating
finally curating data
curating data and
data and providing
and providing effective
providing effective data
effective data |||
data ||| stewardship
||| stewardship is
stewardship is essential
is essential if
essential if data
if data are
data are to
are to be
to be used
be used and
used and reused
and reused in
reused in the
in the |||
the ||| future
||| future |||
future ||| conclusion
||| conclusion implications
conclusion implications for
implications for |||
for ||| ischool
||| ischool research
ischool research |||
research ||| the
||| the implications
the implications of
implications of our
of our research
our research on
research on data
on data integrity
data integrity are
integrity are multifold
are multifold |||
multifold ||| for
||| for the
for the ischool
the ischool research
ischool research community
research community and
community and we
and we hope
we hope to
hope to promote
to promote |||
promote ||| discussion
||| discussion of
discussion of these
of these issues
these issues |||
issues ||| data
||| data are
data are a
are a growing
a growing component
growing component of
component of the
of the |||
the ||| scholarly
||| scholarly information
scholarly information infrastructure
information infrastructure and
infrastructure and must
and must be
must be integrated
be integrated into
integrated into |||
into ||| larger
||| larger discussions
larger discussions of
discussions of technology
of technology institutions
technology institutions practices
institutions practices and
practices and policy
and policy |||
policy ||| ischool
||| ischool research
ischool research has
research has focused
has focused much
focused much more
much more on
more on documents
on documents |||
documents ||| than
||| than on
than on data
on data |||
data ||| techniques
||| techniques that
techniques that have
that have been
have been effective
been effective in
effective in promoting
in promoting |||
promoting ||| access
||| access and
access and interoperability
and interoperability of
interoperability of documents
of documents may
documents may not
may not be
not be applicable
be applicable to
applicable to |||
to ||| data
||| data and
data and other
and other digital
other digital scientific
digital scientific resources
scientific resources |||
resources ||| research
||| research relating
research relating to
relating to |||
to ||| scientific
||| scientific data
scientific data practices
data practices and
practices and data
and data preservation
data preservation and
preservation and curation
and curation are
curation are |||
are ||| small
||| small but
small but growing
but growing areas
growing areas of
areas of ischool
of ischool expertise
ischool expertise |||
expertise ||| the
||| the development
the development of
development of |||
of ||| a
||| a larger
a larger research
larger research base
research base in
base in these
in these areas
these areas is
areas is critical
is critical to
critical to enhance
to enhance our
enhance our |||
our ||| understanding
||| understanding of
understanding of the
of the cyberinfrastructure
the cyberinfrastructure blank
cyberinfrastructure blank canvas
blank canvas and
canvas and |||
and ||| to
||| to facilitate
to facilitate the
facilitate the development
the development of
development of a
of a trained
a trained workforce
trained workforce of
workforce of data
of data |||
data ||| scientists
||| scientists |||
scientists ||| integrity
||| integrity of
integrity of content
of content is
content is a
is a generic
a generic issue
generic issue in
issue in curation
in curation and
curation and preservation
and preservation |||
preservation ||| but
||| but has
but has not
has not been
not been extensively
been extensively studied
extensively studied in
studied in relation
in relation to
relation to scientific
to scientific data
scientific data |||
data ||| as
||| as data
as data are
data are increasingly
are increasingly being
increasingly being made
being made available
made available on
available on the
on the internet
the internet |||
internet ||| questions
||| questions about
questions about ensuring
about ensuring data
ensuring data integrity
data integrity across
integrity across all
across all stages
all stages of
stages of the
of the data
the data |||
data ||| life
||| life cycle
life cycle must
cycle must be
must be answered
be answered |||
answered ||| data
||| data that
data that are
that are collected
are collected on
collected on by
on by |||
by ||| ecological
||| ecological and
ecological and environmental
and environmental researchers
environmental researchers have
researchers have scientific
have scientific value
scientific value |||
value ||| both
||| both to
both to immediate
to immediate research
immediate research questions
research questions and
questions and longterm
and longterm longitudinal
longterm longitudinal |||
longitudinal ||| studies
||| studies |||
studies ||| distributed
||| distributed longitudinal
distributed longitudinal studies
longitudinal studies will
studies will require
will require standards
require standards that
standards that |||
that ||| ensure
||| ensure the
ensure the interoperability
the interoperability of
interoperability of the
of the sensor
the sensor the
sensor the network
the network and
network and the
and the data
the data |||
data ||| these
||| these concerns
these concerns are
concerns are coming
are coming to
coming to the
to the fore
the fore in
fore in data
in data practices
data practices |||
practices ||| lessons
||| lessons learned
lessons learned here
learned here will
here will apply
will apply across
apply across the
across the scholarly
the scholarly information
scholarly information |||
information ||| infrastructure
